Model_Year,Model_Number,Trim,Lease_Term,Tier,Lease_Cash,Residual_Value,Residual_Percentage
2025,50412REZ,4dr Wgn SE,24,2 (720-739),$13250,0.00224,0.62
2025,50412REZ,4dr Wgn SE,24,3 (700-719),$13250,0.00237,0.62
2025,50412REZ,4dr Wgn SE,24,4 (680-699),$13250,0.00250,0.62
2025,50412REZ,4dr Wgn SE,24,5 (660-679),$13250,0.00263,0.62
2025,50412REZ,4dr Wgn SE,24,6 (640-659),$13250,0.00277,0.62
2025,50412REZ,4dr Wgn SE,24,7 (620-639),$13250,0.00298,0.62
2025,50442AEZ,4dr Wgn SEL,24,1 (740-999),$14250,0.00220,0.63
2025,50442AEZ,4dr Wgn SEL,24,2 (720-739),$14250,0.00220,0.63
2025,50442AEZ,4dr Wgn SEL,24,3 (700-719),$14250,0.00233,0.63
2025,50442AEZ,4dr Wgn SEL,24,4 (680-699),$14250,0.00246,0.63
2025,50442AEZ,4dr Wgn SEL,24,5 (660-679),$14250,0.00259,0.63
2025,50442AEZ,4dr Wgn SEL,24,6 (640-659),$14250,0.00273,0.63
2025,50442AEZ,4dr Wgn SEL,24,7 (620-639),$14250,0.00294,0.63
2025,50442REZ,4dr Wgn SEL,24,1 (740-999),$13500,0.00229,0.64
2025,50442REZ,4dr Wgn SEL,24,2 (720-739),$13500,0.00229,0.64
2025,50442REZ,4dr Wgn SEL,24,3 (700-719),$13500,0.00242,0.64
2025,50442REZ,4dr Wgn SEL,24,4 (680-699),$13500,0.00255,0.64
2025,50442REZ,4dr Wgn SEL,24,5 (660-679),$13500,0.00268,0.64
2025,50442REZ,4dr Wgn SEL,24,6 (640-659),$13500,0.00282,0.64
2025,50442REZ,4dr Wgn SEL,24,7 (620-639),$13500,0.00303,0.64
2025,50452AEZ,4dr Wgn XRT,24,1 (740-999),$14000,0.00226,0.64
2025,50452AEZ,4dr Wgn XRT,24,2 (720-739),$14000,0.00226,0.64
2025,50452AEZ,4dr Wgn XRT,24,3 (700-719),$14000,0.00239,0.64
2025,50452AEZ,4dr Wgn XRT,24,4 (680-699),$14000,0.00252,0.64
2025,50452AEZ,4dr Wgn XRT,24,5 (660-679),$14000,0.00265,0.64
2025,50452AEZ,4dr Wgn XRT,24,6 (640-659),$14000,0.00279,0.64
2025,50452AEZ,4dr Wgn XRT,24,7 (620-639),$14000,0.00300,0.64
2025,50462AEZ,4dr Wgn Limited,24,1 (740-999),$14250,0.00219,0.63
2025,50462AEZ,4dr Wgn Limited,24,2 (720-739),$14250,0.00219,0.63
2025,50462AEZ,4dr Wgn Limited,24,3 (700-719),$14250,0.00232,0.63
